keys,en,ca
bio_andrewforrest,Andrew Forrest is a Western Australian mining magnate who has a net worth of $26 billion. Andrew Forrest is currently the non-executive chairman of the mining corporation Fortescue Metals Group.,Andrew Forrest és un magnat de la mineria d'Austràlia Occidental que té un valor net de 26.000 milions de dòlars. Andrew Forrest és actualment el president no executiu de la corporació minera Fortescue Metals Group.
bio_stefanquandt,Stefan Quandt is a German automobile heir who has a net worth of $26 billion. He and her sister Susanne inherited their father's stakes in BMW and chemical-maker Altana upon his death in 1982. ,Stefan Quandt és un hereu de l'automòbil alemany que té un patrimoni net de 26.000 milions de dòlars. Ell i la seva germana Susanne van heretar les participacions del seu pare a BMW i al fabricant químic Altana després de la seva mort el 1982. 
bio_lukaswalton,"Lukas Walton is an American businessman who has a net worth of $26 billion. Lukas is best known for being an heir of Wal-Mart. Lukas inherited his fortune from his mother Christy Walton. Christy inherited her fortune as the widow of John T. Walton, one of the children of Walmart founder, Sam Walton.","Lukas Walton és un empresari nord-americà que té un patrimoni net de 26.000 milions de dòlars. Lukas és més conegut per ser un hereu de Wal-Mart. Lukas va heretar la seva fortuna de la seva mare Christy Walton. Christy va heretar la seva fortuna com a vídua de John T. Walton, un dels fills del fundador de Walmart, Sam Walton."
bio_williamding,"William Ding is a Chinese entrepreneur who has a net worth is $26 billion. In the late 90s, he founded the internet company, NetEase. NetEase's site, 163.com, has become the 27th most visited site in the world, largely due to its multiplayer gaming applications.","William Ding és un empresari xinès que té un patrimoni net de 26.000 milions de dòlars. A finals dels 90, va fundar l'empresa d'Internet, NetEase. El lloc de NetEase, 163.com, s'ha convertit en el 27è lloc més visitat del món, en gran part a causa de les seves aplicacions de jocs multijugador."
bio_susanneklatten,"Susanne Klatten is a German businesswoman who has a net worth of $26 billion dollars. Susanne Klatten is the daughter of the late Nazi industrialist Herbert Quandt. With major holdings in BMW and the chemical company Altana, she is the richest woman in Germany and one of the richest people on the planet.","Susanne Klatten és una empresaria alemanya que té un patrimoni net de 26.000 milions de dòlars. Susanne Klatten és la filla del difunt industrial nazi Herbert Quandt. Amb importants participacions a BMW i a l'empresa química Altana, és la dona més rica d'Alemanya i una de les persones més riques del planeta."
bio_ericyuan,Eric Yuan is a Chinese American businessman and entrepreneur who has a net worth of $25 billion. Eric earned his fortune as the founder and CEO of Zoom Video Communications.,Eric Yuan és un empresari i empresari nord-americà xinès que té un valor net de 25.000 milions de dòlars. Eric va guanyar la seva fortuna com a fundador i CEO de Zoom Video Communications.
bio_dustinmoskovitz,Dustin Moskovitz is an American internet entrepreneur who has a net worth of $25 billion. Dustin Moskovitz earned his net worth as a co-founder of Facebook.,Dustin Moskovitz és un empresari nord-americà d'Internet que té un valor net de 25.000 milions de dòlars. Dustin Moskovitz va guanyar el seu patrimoni net com a cofundador de Facebook.
bio_elainemarshall,"Elaine Tettemer Marshall is an American billionaire who has a net worth of $24 billion. Elaine Marshall is a member of the Board of Koch Industries and is the widow of E. Pierce Marshall, from whom she inherited her position and wealth.","Elaine Tettemer Marshall és una multimilionària nord-americana que té un patrimoni net de 24.000 milions de dòlars. Elaine Marshall és membre de la Junta de Koch Industries i és vídua d'E. Pierce Marshall, de qui va heretar la seva posició i riquesa."
bio_takemitsutakizaki,"Takemitsu Takizaki is a Japanese billionaire who has a net worth of $24 billion. Takemitsu Takizaki is the founder of Keyence, a company which creates sensors, bar-code readers, vision systems, digital microscopes and other electronic components for factory automation systems. Even though labeled as manufacturer, Keyence specializes solely in product planning and development and does not manufacture final products. ","Takemitsu Takizaki és un multimilionari japonès que té un patrimoni net de 24.000 milions de dòlars. Takemitsu Takizaki és el fundador de Keyence, una empresa que crea sensors, lectors de codis de barres, sistemes de visió, microscopis digitals i altres components electrònics per a sistemes d'automatització de fàbriques. Tot i que està etiquetat com a fabricant, Keyence s'especialitza únicament en la planificació i desenvolupament de productes i no fabrica productes finals. "
bio_irisfontbona,"Iris Fontbona is a Chilean businesswoman who has a net worth of $24 billion. Iris Fontbona earned her fortune by marrying Andronico Luksic, who built one of the biggest copper mining companies in the world, Antofagasta.","Iris Fontbona és una empresaria xilena que té un patrimoni net de 24.000 milions de dòlars. Iris Fontbona es va guanyar fortuna casant-se amb Andronico Luksic, que va construir una de les empreses mineres de coure més grans del món, Antofagasta."
bio_forrestmarsjr,"Forrest Mars, Jr. is the eldest son of Forrest Mars Sr. and grandson of Frank C. Mars, founders of the American candy Mars.","Forrest Mars, Jr. és el fill gran de Forrest Mars Sr. i nét de Frank C. Mars, fundadors del caramel nord-americà Mars."
bio_ginarinehart,"Gina Rinehart is an Australian mining heiress who has a net worth of $23 billion. Gina Rinehart is the richest person in Australia and one of the richest people in the world. Gina currently serves as the Executive Chairwoman of Hancock Prospecting, a company she inherited from her father.","Gina Rinehart és una hereva minera australiana que té un valor net de 23.000 milions de dòlars. Gina Rinehart és la persona més rica d'Austràlia i una de les persones més riques del món. Actualment, Gina és la presidenta executiva de Hancock Prospecting, una empresa que va heretar del seu pare."
bio_wangwei,"Wang Wei is a Chinese transportation and logistics entrepreneur who has a net worth of $22 billion. Wang Wei prefers to keep a low profile running his unlisted company, SF Express, behind closed doors. His SF Express provides super-fast delivery throughout most of China's parts. It is now expanding into southeast region.","Wang Wei és un empresari xinès de transport i logística que té un valor net de 22.000 milions de dòlars. Wang Wei prefereix mantenir un perfil baix dirigint la seva empresa no cotitzada, SF Express, a porta tancada. El seu SF Express ofereix un lliurament molt ràpid a la majoria de parts de la Xina. Ara s'està expandint a la regió sud-est."
bio_qinyinglin,Qin Yinglin is a Chinese businessman and pig farmer who has a net worth of $22 billion. He made his money by being China's largest pig breeder. The country is the world's biggest pork consumer.,Qin Yinglin és un empresari i criador de porcs xinès que té un valor net de 22.000 milions de dòlars. Va guanyar diners sent el criador de porcs més gran de la Xina. El país és el major consumidor mundial de carn de porc.
bio_jamesdyson,"Sir James Dyson is a British inventor, designer, farmer and entrepreneur who has a net worth of $22 billion. He is best known for founding the technology company Dyson.","Sir James Dyson és un inventor, dissenyador, granger i empresari britànic que té un valor net de 22.000 milions de dòlars. És més conegut per fundar l'empresa tecnològica Dyson."
bio_satoshinakamoto,Satoshi Nakamoto is a computer software developer and alleged Bitcoin entrepreneur who has a net worth of $22 billion. Satoshi Nakamoto is the pseudonym used by the person or persons who created the cryptocurrency bitcoin.,Satoshi Nakamoto és un desenvolupador de programari informàtic i un suposat empresari de Bitcoin que té un valor net de 22.000 milions de dòlars. Satoshi Nakamoto és el pseudònim utilitzat per la persona o persones que van crear la criptomoneda bitcoin.
bio_davidtepper,David Tepper is an American businessman and philanthropist who has net worth of $21 billion. David Tepper earned his fortune as the founder of the hedge fund Appaloosa Management. For many years he was one of the richest people in New Jersey.,David Tepper és un empresari i filantrop nord-americà que té un valor net de 21.000 milions de dòlars. David Tepper va guanyar la seva fortuna com a fundador del fons de cobertura Appaloosa Management. Durant molts anys va ser una de les persones més riques de Nova Jersey.
bio_xuyangtian,"Xu Yangtian, better known as Chris Xu, is a Chinese fashion entrepreneur who has a net worth of $20 billion. Xu Yangtian earned his fortune as the founder of the e-commerce fast-fashion retail giant Shein.","Xu Yangtian, més conegut com a Chris Xu, és un empresari de moda xinès que té un valor net de 20.000 milions de dòlars. Xu Yangtian es va guanyar la seva fortuna com a fundador del gegant de comerç electrònic de moda ràpida Shein."
bio_leonidmikhelson,"Leonid Mikhelson is a Russian businessman who has a net worth of $20 billion dollars which makes him one of the richest people in Russia. He renamed the company, Novatek, and shepherded it through a massive restructuring that included adding oil and gas production to its pipeline and roadwork divisions.","Leonid Mikhelson és un empresari rus que té un patrimoni net de 20.000 milions de dòlars, cosa que el converteix en una de les persones més riques de Rússia. Va canviar el nom de l'empresa, Novatek, i la va impulsar a través d'una reestructuració massiva que va incloure afegir producció de petroli i gas a les seves divisions de canonades i obres de carreteres."
bio_andybechtolsheim,"Andy Bechtolsheim is a German billionaire tech entrepreneur, electrical engineer and investor who has a net worth $20 billion. Andy earned his first fortune as the founder of Sun Microsystems  but the majority of his fortune comes thanks to Google. Andy and his former Stanford professor David Cheriton were the two FIRST investors in Google.","Andy Bechtolsheim és un empresari tecnològic, enginyer elèctric i inversor multimilionari alemany que té un valor net de 20.000 milions de dòlars. Andy va guanyar la seva primera fortuna com a fundador de Sun Microsystems, però la major part de la seva fortuna ve gràcies a Google. Andy i el seu antic professor de Stanford David Cheriton van ser els dos PRIMERS inversors a Google."
bio_salmanbinabdulazizalsaud,Salman bin Abdulaziz Al Saud is the current King of Saudi Arabia. As of this writing he has a net worth of $20 billion.,"Salman bin Abdulaziz Al Saud és l'actual rei de l'Aràbia Saudita. En el moment d'escriure això, té un patrimoni net de 20.000 milions de dòlars."
bio_jorgepaulolemann,Jorge Paulo Lemann is a Brazilian billionaire investment banker and businessman who has a net worth of $20 billion. Jorge Paulo Lemann first built his fortune in the 1970s as a co-founder of Banco Garantia.,Jorge Paulo Lemann és un banquer d'inversió i empresari multimilionari brasiler que té un patrimoni net de 20.000 milions de dòlars. Jorge Paulo Lemann va construir la seva fortuna per primera vegada als anys 70 com a cofundador de Banco Garantia.
bio_johnmenard,"John Menard, Jr. Net Worth: John R. Menard, Jr. is an American entrepreneur and billionaire who a net worth of $20 billion. He is the founder and owner of Menards, a major Midwestern home improvement chain. He is also a former IndyCar racing team owner. Menard is a partner in Robby Gordon Motorsports with NASCAR owner and driver Robby Gordon.","Patrimoni net de John Menard, Jr.: John R. Menard, Jr. és un empresari i multimilionari nord-americà amb un valor net de 20.000 milions de dòlars. És el fundador i propietari de Menards, una important cadena de millores per a la llar del Midwest. També és un antic propietari de l'equip de carreres IndyCar. Menard és soci de Robby Gordon Motorsports amb el propietari i pilot de NASCAR, Robby Gordon."
bio_fayezsarofim,Fayez Sarofim was an Egyptian-American billionaire and investment manager and businessman who had a net worth of $20 billion at the time of his death in 2022.,Fayez Sarofim era un multimilionari egipci-nord-americà i gestor d'inversions i empresari que tenia un patrimoni net de 20.000 milions de dòlars en el moment de la seva mort el 2022.
bio_alexeymordashov,"Alexey Mordashov is a businessman who has a net worth of $20 billion dollars which makes him one of the richest people in Russia. He became general director in the mid-90s, and subsequently launched, Severstal, a mining conglomerate.","Alexey Mordashov és un home de negocis que té un valor net de 20.000 milions de dòlars, cosa que el converteix en una de les persones més riques de Rússia. Va esdevenir director general a mitjans dels anys 90, i posteriorment va posar en marxa Severstal, un conglomerat miner."
bio_dilipshanghvi,"Dilip Shanghvi is an Indian pharmaceutical entrepreneur who has a net worth of $20 billion. Dilip Shanghvi is the founder and managing director of Sun Pharmaceutical Industries Limited. Ever since its creation in 1982, Sun Pharma has developed into the fifth-largest drug-maker in India.","Dilip Shanghvi és un empresari farmacèutic indi que té un valor net de 20.000 milions de dòlars. Dilip Shanghvi és el fundador i director general de Sun Pharmaceutical Industries Limited. Des de la seva creació el 1982, Sun Pharma s'ha convertit en el cinquè fabricant de medicaments més gran de l'Índia."
bio_vladimirlisin,"Vladimir Lisin is a Russian steel tycoon who has a net worth of $19 billion dollars. Lisin is the chairman and majority shareholder in one of the largest steel companies in Russia, Novolipetsk (NLMK).","Vladimir Lisin és un magnat de l'acer rus que té un valor net de 19.000 milions de dòlars. Lisin és el president i accionista majoritari d'una de les empreses siderúrgiques més grans de Rússia, Novolipetsk (NLMK)."
bio_rupertmurdoch,Rupert Murdoch is an Australian media mogul who earned his fortune as the founder of News Corp. Rupert Murdoch has a net worth of $19 billion.,Rupert Murdoch és un magnat dels mitjans de comunicació australià que es va guanyar la seva fortuna com a fundador de News Corp. Rupert Murdoch té un patrimoni net de 19.000 milions de dòlars.
bio_pallonjimistry,"Pallonji Mistry is an Irish Indian billionaire who has a net worth of $19 billion dollars. He is the chairman of the Shapoorji Pallonji Group, a massive construction company that is responsible for most of the major buildings in Mumbai, including the Hong Kong & Shanghai Bank and the Standard Chartered Bank.","Pallonji Mistry és un multimilionari indi irlandès que té un valor net de 19.000 milions de dòlars. És el president del Shapoorji Pallonji Group, una empresa de construcció massiva que és responsable de la majoria dels edificis principals de Bombai, inclosos el Hong Kong & Shanghai Bank i el Standard Chartered Bank."
bio_jamesratcliffe,"James Ratcliffe is a British chemical engineer turned financier and industrialist who has a net worth of $19 billion. Former engineer, James Ratcliffe has been chairing Ineos Group, chemical powerhouse with an estimated turnover of $44 billion, since 1998. Now he only serves as CEO of the company that has grown through acquisitions and partnerships.","James Ratcliffe és un enginyer químic britànic convertit en financer i industrial que té un patrimoni net de 19.000 milions de dòlars. L'antic enginyer James Ratcliffe presideix el grup Ineos, la potència química amb una facturació estimada de 44.000 milions de dòlars, des de 1998. Ara només exerceix com a conseller delegat de l'empresa que ha crescut mitjançant adquisicions i associacions."
bio_sheikhkhalifabinzayedalnahyan,"Khalifa bin Zayed bin Sultan Al Nahyan was the president of the United Arab Emirates, the supreme commander of the United Arab Emirates Armed Forces, and the Emir of Abu Dhabi. At the time of his death, Sheikh Khalifa Bin Zayed Al Nahyan had a net worth of $18 billion dollars.","Khalifa bin Zayed bin Sultan Al Nahyan era el president dels Emirats Àrabs Units, el comandant suprem de les Forces Armades dels Emirats Àrabs Units i l'emir d'Abu Dhabi. En el moment de la seva mort, el xeic Khalifa Bin Zayed Al Nahyan tenia un patrimoni net de 18.000 milions de dòlars."
bio_donaldbren,Donald Bren is an American businessman who has a net worth of $18 billion. Donald Bren is the chairman of the Irvine Group and is widely regarded as the wealthiest real estate developer in the United States,Donald Bren és un empresari nord-americà que té un valor net de 18.000 milions de dòlars. Donald Bren és el president del grup Irvine i és àmpliament considerat com el promotor immobiliari més ric dels Estats Units.
bio_david&simonreuben,"David & Simon Reuben are British businessmen and philanthropists who have a net worth of $18 billion. David and Simon first joined together in their Trans World group, which turned into the third largest metal producer in the world after they bought up more than half of Russia's aluminium industry.","David i Simon Reuben són empresaris i filantrops britànics que tenen un patrimoni net de 18.000 milions de dòlars. David i Simon es van unir per primera vegada al seu grup Trans World, que es va convertir en el tercer productor de metall més gran del món després de comprar més de la meitat de la indústria de l'alumini de Rússia."
bio_lakshmimittal,"Lakshmi Mittal is an Indian steel magnate who has a net worth of $18 billion. Based in the U.K., Lakshmi Mittal is the chairman and former CEO of the second-largest largest steel making company in the world, ArcelorMittal, and he serves as chairman of Aperam, a stainless steel manufacturer.","Lakshmi Mittal és un magnat de l'acer indi que té un valor net de 18.000 milions de dòlars. Amb seu al Regne Unit, Lakshmi Mittal és el president i antic conseller delegat de la segona empresa de fabricació d'acer més gran del món, ArcelorMittal, i exerceix de president d'Aperam, un fabricant d'acer inoxidable."
bio_alisherusmanov,"Alisher Usmanov is an Uzbek-born Russian businessman who has a net worth of $18 billion. Alisher Usmanov has earned his net worth from mining, lumber, and various other investments. He is the majority shareholder of the Russian industrial conglomerate Metalloinvest, which he founded to manage Gazprom's metals interests.","Alisher Usmanov és un empresari rus nascut a l'Uzbek que té un patrimoni net de 18.000 milions de dòlars. Alisher Usmanov ha guanyat el seu patrimoni net amb la mineria, la fusta i diverses altres inversions. És l'accionista majoritari del conglomerat industrial rus Metalloinvest, que va fundar per gestionar els interessos de metalls de Gazprom."
bio_viktorvekselberg,"Viktor Vekselberg is a businessman who has a net worth of $17 billion dollars which makes him one of the richest people in Russia. He began building up his fortune with copper and aluminum smelting businesses, and then moved to oil production. He became co-owner and chairman of Tyumen Oil in the mid-90s, and then brokered a deal with multinational oil company, BP. ","Viktor Vekselberg és un home de negocis que té un patrimoni net de 17.000 milions de dòlars, cosa que el converteix en una de les persones més riques de Rússia. Va començar a construir la seva fortuna amb empreses de fosa de coure i alumini, i després es va traslladar a la producció de petroli. Es va convertir en copropietari i president de Tyumen Oil a mitjans dels anys 90, i després va negociar un acord amb la multinacional petroliera BP. "
